case,completion_tokens,cost,critical_miss_count,elapsed_seconds,failed_occurrence,false_approval_count,gate_attempt_rate,http_retries,model,model_resolution_mismatch,overall_score,prompt_tokens,rate_limits,resolved_models,resumed_gates,route,route_complete_decision,route_complete_execution,status,strict_gate_success_rate,tool_calls,truncated_responses
DGF-BUY-012001_buy,29206,0.26230275,0,147.686,,0,1.0,0,google/gemini-3.8-flash,False,0.9583,203707,0,['google/gemini-3.8-flash'],0,buy,False,False,OK,0.5,21,0
DGF-BUY-012000_buy,35230,0.32271150000000004,0,175.254,,0,1.0,0,google/gemini-3.8-flash,False,0.9583,254132,0,['google/gemini-3.8-flash'],0,buy,False,False,OK,0.5,27,0
DGF-BUY-012002_buy,22009,0.23683162500000002,0,121.729,,1,1.0,0,google/gemini-3.8-flash,False,0.9333,209344,0,['google/gemini-3.8-flash'],0,buy,False,False,OK,0.8333,22,0
DGF-BUY-012001_buy,9156,0.0124480364,0,302.309,,0,1.0,0,deepseek/deepseek-v4.1-flash,False,0.9417,182824,0,['deepseek/deepseek-v4.1-flash'],0,buy,False,False,OK,0.3333,32,0
DGF-BUY-012003_buy,25122,0.24931275,0,134.358,,0,1.0,0,google/gemini-3.8-flash,False,1.0,206807,0,['google/gemini-3.8-flash'],0,buy,True,False,OK,1.0,22,0
DGF-BUY-012001_buy,6366,0.00913366,,383.218,BUY-03-COMPLIANCE-1,,,3,z-ai/glm-5.3-flash,False,,70681,3,['z-ai/glm-5.3-flash'],0,buy,,,INFRA_ERROR,,7,0
DGF-BUY-012004_buy,37275,0.2987145,0,162.38,,0,1.0,0,google/gemini-3.8-flash,False,1.0,211911,0,['google/gemini-3.8-flash'],0,buy,True,False,OK,1.0,22,0
DGF-BUY-012000_buy,13652,0.0153671056,0,467.434,,0,1.0,0,deepseek/deepseek-v4.1-flash,False,0.9,232448,0,['deepseek/deepseek-v4.1-flash'],0,buy,False,False,OK,0.0,43,0
DGF-INT-012005_integrate,34402,0.27661575,0,159.969,,0,1.0,0,google/gemini-3.8-flash,False,0.9778,196811,0,['google/gemini-3.8-flash'],0,integrate,False,False,OK,0.5,20,0
DGF-INT-012007_integrate,24826,0.24373275,0,135.375,,0,1.0,0,google/gemini-3.8-flash,False,1.0,200847,0,['google/gemini-3.8-flash'],0,integrate,True,False,OK,1.0,21,0
DGF-INT-012006_integrate,35398,0.31968225,0,181.899,,2,1.0,0,google/gemini-3.8-flash,False,0.8417,249253,0,['google/gemini-3.8-flash'],0,integrate,False,False,OK,0.3333,27,0
DGF-BUY-012002_buy,11863,0.0142081888,0,366.839,,0,1.0,0,deepseek/deepseek-v4.1-flash,False,0.9583,188628,0,['deepseek/deepseek-v4.1-flash'],0,buy,False,False,OK,0.3333,35,0
DGF-INT-012009_integrate,28277,0.24930000000000002,0,155.223,,1,1.0,0,google/gemini-3.8-flash,False,0.9167,191015,0,['google/gemini-3.8-flash'],0,integrate,False,False,OK,0.6667,20,0
DGF-INT-012008_integrate,32010,0.26845875,0,165.597,,0,1.0,0,google/gemini-3.8-flash,False,1.0,197895,0,['google/gemini-3.8-flash'],0,integrate,True,False,OK,1.0,22,0
DGF-BUY-012003_buy,10162,0.0137657188,0,335.355,,0,1.0,0,deepseek/deepseek-v4.1-flash,False,0.9667,199261,0,['deepseek/deepseek-v4.1-flash'],0,buy,False,False,OK,0.6667,38,0
DGF-BLD-012010_build,28285,0.2364,0,141.2,,1,1.0,0,google/gemini-3.8-flash,False,0.92,173775,0,['google/gemini-3.8-flash'],0,build,False,False,OK,0.8,18,0
DGF-BUY-012004_buy,9179,0.013895778800000001,0,278.575,,0,1.0,0,deepseek/deepseek-v4.1-flash,False,0.9417,176061,0,['deepseek/deepseek-v4.1-flash'],0,buy,False,False,OK,0.1667,33,0
DGF-BLD-012011_build,39019,0.331524,0,194.374,,0,1.0,0,google/gemini-3.8-flash,False,0.99,246937,0,['google/gemini-3.8-flash'],0,build,False,False,OK,0.8,25,1
DGF-BLD-012012_build,26351,0.247944,0,141.034,,0,1.0,0,google/gemini-3.8-flash,False,1.0,198837,0,['google/gemini-3.8-flash'],0,build,True,False,OK,1.0,20,0
DGF-BLD-012013_build,15655,0.222366,0,106.45,,2,1.0,0,google/gemini-3.8-flash,False,0.84,218213,0,['google/gemini-3.8-flash'],0,build,False,False,OK,0.6,23,0
DGF-BLD-012014_build,24842,0.2099595,0,121.592,,0,1.0,0,google/gemini-3.8-flash,False,0.9768,155736,0,['google/gemini-3.8-flash'],0,build,False,False,OK,0.4,15,0
DGF-INT-012005_integrate,16802,0.0180671364,0,503.331,,0,1.0,0,deepseek/deepseek-v4.1-flash,False,0.9277,267577,0,['deepseek/deepseek-v4.1-flash'],0,integrate,False,False,OK,0.1667,51,0
DGF-INT-012006_integrate,12054,0.0167490092,0,433.79,,0,1.0,0,deepseek/deepseek-v4.1-flash,False,0.9417,217208,0,['deepseek/deepseek-v4.1-flash'],0,integrate,False,False,OK,0.3333,40,0
DGF-BUY-012000_buy,25323,0.047179570000000004,0,1524.164,,0,1.0,12,z-ai/glm-5.3-flash,False,0.9055,421758,12,['z-ai/glm-5.3-flash'],0,buy,False,False,OK,0.0,38,0
DGF-INT-012007_integrate,13701,0.0180738512,0,374.302,,0,1.0,0,deepseek/deepseek-v4.1-flash,False,0.9278,228127,0,['deepseek/deepseek-v4.1-flash'],0,integrate,False,False,OK,0.1667,42,0
DGF-INT-012008_integrate,13731,0.014660067999999998,0,466.18,,0,1.0,0,deepseek/deepseek-v4.1-flash,False,0.9465,191937,0,['deepseek/deepseek-v4.1-flash'],0,integrate,False,False,OK,0.5,38,0
DGF-INT-012009_integrate,13385,0.018233936000000003,0,365.623,,0,1.0,0,deepseek/deepseek-v4.1-flash,False,0.975,273699,0,['deepseek/deepseek-v4.1-flash'],0,integrate,False,False,OK,0.6667,50,0
DGF-BLD-012010_build,12089,0.0136187044,0,419.55,,0,1.0,0,deepseek/deepseek-v4.1-flash,False,0.9266,176872,0,['deepseek/deepseek-v4.1-flash'],0,build,False,False,OK,0.2,41,0
DGF-BLD-012011_build,12939,0.014201433199999999,0,365.5,,0,1.0,0,deepseek/deepseek-v4.1-flash,False,0.922,161118,0,['deepseek/deepseek-v4.1-flash'],0,build,False,False,OK,0.0,32,0
DGF-BUY-012002_buy,47596,0.07275263,0,2220.367,,0,1.0,13,z-ai/glm-5.3-flash,False,0.9417,619433,13,['z-ai/glm-5.3-flash'],0,buy,False,False,OK,0.3333,54,0
DGF-BLD-012012_build,14027,0.015472092399999998,0,375.66,,0,1.0,0,deepseek/deepseek-v4.1-flash,False,0.946,225489,0,['deepseek/deepseek-v4.1-flash'],0,build,False,False,OK,0.2,48,0
