action,due_date,finding_id,gate,occurrence_id,owner,status
OBTAIN_BUDGET_ARBITRATION,2027-05-04,PROC-BUDGET-001,procurement,BUY-01-PROCUREMENT-1,CFO / Sponsor,OPEN
CHECK_VENDOR_REFERENCES,2027-05-04,PROC-REF-001,procurement,BUY-01-PROCUREMENT-1,Procurement,OPEN
ADD_EXIT_ASSISTANCE,2027-05-04,LEGAL-EXIT-001,legal,BUY-02-LEGAL-1,Legal / Procurement,OPEN
CLARIFY_IP_OWNERSHIP,2027-05-04,LEGAL-IP-001,legal,BUY-02-LEGAL-1,Legal,OPEN
ADD_LOG_EXPORT_CLAUSE,2027-05-04,LEGAL-LOG-001,legal,BUY-02-LEGAL-1,Legal,OPEN
RELOCATE_DATA_OR_OBTAIN_VALID_BASIS,2027-05-04,COMP-RESID-001,compliance,BUY-03-COMPLIANCE-1,DPO / Architecture,OPEN
CONNECT_LOGS_TO_SIEM,2027-05-04,SEC-LOG-001,security,BUY-04-SECURITY-1,SOC,OPEN
REMEDIATE_CRITICAL_VULNERABILITIES,2027-05-04,SEC-VULN-001,security,BUY-04-SECURITY-1,Product Team,OPEN
SUBMIT_TECHNOLOGY_WAIVER,2027-05-04,IT-CATALOG-001,it,BUY-05-IT-1,IT Architecture,OPEN
INCREASE_CAPACITY_HEADROOM,2027-05-04,IT-CAPACITY-001,it,BUY-05-IT-1,Platform Operations,OPEN
OBTAIN_BUDGET_APPROVAL,2027-05-04,GEN-BUDGET-001,general,BUY-06-GENERAL-1,CFO / Sponsor,OPEN
RESOLVE_UPSTREAM_NO_GO,2027-05-04,GEN-UPSTREAM-NOGO,general,BUY-06-GENERAL-1,Project Manager,OPEN
