model,reference,prediction,count
deepseek/deepseek-v4.1-flash,GO,GO,441
deepseek/deepseek-v4.1-flash,GO,GO_WITH_RESERVATIONS,3
deepseek/deepseek-v4.1-flash,GO,REWORK,35
deepseek/deepseek-v4.1-flash,GO,SUSPENSION,9
deepseek/deepseek-v4.1-flash,GO_WITH_RESERVATIONS,GO_WITH_RESERVATIONS,302
deepseek/deepseek-v4.1-flash,GO_WITH_RESERVATIONS,REWORK,23
deepseek/deepseek-v4.1-flash,GO_WITH_RESERVATIONS,SUSPENSION,1
deepseek/deepseek-v4.1-flash,NO_GO,GO,1
deepseek/deepseek-v4.1-flash,NO_GO,NO_GO,274
deepseek/deepseek-v4.1-flash,NO_GO,REWORK,1
deepseek/deepseek-v4.1-flash,REWORK,NO_GO,1
deepseek/deepseek-v4.1-flash,REWORK,REWORK,416
deepseek/deepseek-v4.1-flash,REWORK,SUSPENSION,2
deepseek/deepseek-v4.1-flash,SUSPENSION,NO_GO,2
deepseek/deepseek-v4.1-flash,SUSPENSION,REWORK,3
deepseek/deepseek-v4.1-flash,SUSPENSION,SUSPENSION,186
google/gemini-3.8-flash,GO,GO,488
google/gemini-3.8-flash,GO_WITH_RESERVATIONS,GO_WITH_RESERVATIONS,398
google/gemini-3.8-flash,NO_GO,NO_GO,276
google/gemini-3.8-flash,REWORK,REWORK,352
google/gemini-3.8-flash,SUSPENSION,SUSPENSION,180
openai/gpt-5.6-luna,GO,GO,482
openai/gpt-5.6-luna,GO,GO_WITH_RESERVATIONS,4
openai/gpt-5.6-luna,GO,REWORK,3
openai/gpt-5.6-luna,GO_WITH_RESERVATIONS,GO_WITH_RESERVATIONS,354
openai/gpt-5.6-luna,GO_WITH_RESERVATIONS,REWORK,3
openai/gpt-5.6-luna,NO_GO,NO_GO,272
openai/gpt-5.6-luna,NO_GO,REWORK,3
openai/gpt-5.6-luna,NO_GO,SUSPENSION,1
openai/gpt-5.6-luna,REWORK,GO,1
openai/gpt-5.6-luna,REWORK,REWORK,394
openai/gpt-5.6-luna,SUSPENSION,REWORK,17
openai/gpt-5.6-luna,SUSPENSION,SUSPENSION,166
