action,due_date,finding_id,gate,occurrence_id,owner,status
CREATE_CONVERGENCE_PLAN,2027-04-03,IT-EOL-001,it,BUILD-01-IT-1,Technology Owner,OPEN
REMEDIATE_LATENCY,2027-04-03,ARCH-PERF-001,architecture,BUILD-02-ARCHITECTURE-1,Solution Architect,OPEN
ENABLE_WAF_PREVENTION,2027-04-03,SEC-WAF-002,security,BUILD-03-SECURITY-1,Network Security,OPEN
REMEDIATE_CRITICAL_VULNERABILITIES,2027-04-03,SEC-VULN-001,security,BUILD-03-SECURITY-1,Product Team,OPEN
REMEDIATE_RECOVERY_TIME,2027-04-03,TR-RTO-001,tech_readiness,BUILD-04-TECH_READINESS-1,SRE,OPEN
REMEDIATE_RECOVERY_POINT,2027-04-03,TR-RPO-001,tech_readiness,BUILD-04-TECH_READINESS-1,SRE,OPEN
REMEDIATE_BUILD_FINDINGS,2027-04-03,TR-CODE-001,tech_readiness,BUILD-04-TECH_READINESS-1,Engineering,OPEN
COMPLETE_OPERATIONAL_HANDOVER,2027-04-03,TR-OPS-001,tech_readiness,BUILD-04-TECH_READINESS-1,Operations,OPEN
CLOSE_PRODUCTION_BLOCKERS,2027-04-03,TR-BLOCKER-001,tech_readiness,BUILD-04-TECH_READINESS-1,Product Team,OPEN
OBTAIN_STRATEGIC_ARBITRATION,2027-04-03,GEN-STRAT-001,general,BUILD-05-GENERAL-1,Sponsor,OPEN
OBTAIN_BUDGET_APPROVAL,2027-04-03,GEN-BUDGET-001,general,BUILD-05-GENERAL-1,CFO / Sponsor,OPEN
RESOLVE_UPSTREAM_NO_GO,2027-04-03,GEN-UPSTREAM-NOGO,general,BUILD-05-GENERAL-1,Project Manager,OPEN
