action,due_date,finding_id,gate,occurrence_id,owner,status
ASSESS_EXISTING_CAPABILITY,2027-09-30,IT-RATIONAL-001,it,INTEGRATE-01-IT-1,Enterprise Architecture,OPEN
CREATE_CONVERGENCE_PLAN,2027-09-30,IT-EOL-001,it,INTEGRATE-01-IT-1,Technology Owner,OPEN
REMEDIATE_LATENCY,2027-09-30,ARCH-PERF-001,architecture,INTEGRATE-02-ARCHITECTURE-1,Solution Architect,OPEN
ENABLE_WAF_PREVENTION,2027-09-30,SEC-WAF-002,security,INTEGRATE-03-SECURITY-1,Network Security,OPEN
REMEDIATE_CRITICAL_VULNERABILITIES,2027-09-30,SEC-VULN-001,security,INTEGRATE-03-SECURITY-1,Product Team,OPEN
ADD_EXIT_ASSISTANCE,2027-09-30,LEGAL-EXIT-001,legal,INTEGRATE-04-LEGAL-1,Legal / Procurement,OPEN
COMPLETE_DPIA,2027-09-30,COMP-DPIA-001,compliance,INTEGRATE-05-COMPLIANCE-1,DPO,OPEN
OBTAIN_EXPORT_CONTROL_CLEARANCE,2027-09-30,COMP-EXPORT-001,compliance,INTEGRATE-05-COMPLIANCE-1,Compliance,OPEN
OBTAIN_STRATEGIC_ARBITRATION,2027-09-30,GEN-STRAT-001,general,INTEGRATE-06-GENERAL-1,Sponsor,OPEN
RESOLVE_UPSTREAM_NO_GO,2027-09-30,GEN-UPSTREAM-NOGO,general,INTEGRATE-06-GENERAL-1,Project Manager,OPEN
