action,due_date,finding_id,gate,occurrence_id,owner,status
SUBMIT_TECHNOLOGY_WAIVER,2027-12-24,IT-CATALOG-001,it,INTEGRATE-01-IT-1,IT Architecture,OPEN
REDESIGN_FOR_HIGH_AVAILABILITY,2027-12-24,ARCH-HA-001,architecture,INTEGRATE-02-ARCHITECTURE-1,Solution Architect,OPEN
COMPLETE_EXIT_ARCHITECTURE,2027-12-24,ARCH-REV-001,architecture,INTEGRATE-02-ARCHITECTURE-1,Enterprise Architect,OPEN
IMPROVE_KEY_ROTATION,2027-12-24,SEC-KEY-001,security,INTEGRATE-03-SECURITY-1,Cloud Security,OPEN
REDLINE_AUDIT_RIGHT,2027-12-24,LEGAL-AUDIT-001,legal,INTEGRATE-04-LEGAL-1,Legal,OPEN
CLARIFY_IP_OWNERSHIP,2027-12-24,LEGAL-IP-001,legal,INTEGRATE-04-LEGAL-1,Legal,OPEN
OBTAIN_AUTHORIZED_SIGNATORY,2027-12-24,LEGAL-SIGN-001,legal,INTEGRATE-04-LEGAL-1,Corporate Secretary,OPEN
COMPLETE_DPIA,2027-12-24,COMP-DPIA-001,compliance,INTEGRATE-05-COMPLIANCE-1,DPO,OPEN
COMPLETE_CONTROL_MAPPING,2027-12-24,COMP-MAP-001,compliance,INTEGRATE-05-COMPLIANCE-1,GRC,OPEN
OBTAIN_EXPORT_CONTROL_CLEARANCE,2027-12-24,COMP-EXPORT-001,compliance,INTEGRATE-05-COMPLIANCE-1,Compliance,OPEN
OBTAIN_BUDGET_APPROVAL,2027-12-24,GEN-BUDGET-001,general,INTEGRATE-06-GENERAL-1,CFO / Sponsor,OPEN
RESOLVE_UPSTREAM_NO_GO,2027-12-24,GEN-UPSTREAM-NOGO,general,INTEGRATE-06-GENERAL-1,Project Manager,OPEN
