model,gate,n,attempted,attempt_rate,csr,csr_ci95_low,csr_ci95_high,decision_accuracy,findings_f1,actions_f1,evidence_fidelity,authorization_accuracy
deepseek/deepseek-v4.1-flash,architecture,200,200,1.0,0.75,0.685,0.81,0.995,0.99067,0.99067,0.83151,0.99
deepseek/deepseek-v4.1-flash,compliance,200,200,1.0,0.88,0.83,0.925,0.98,0.98234,0.98234,0.924585,0.995
deepseek/deepseek-v4.1-flash,general,300,300,1.0,0.686667,0.636667,0.736667,0.923333,0.92278,0.92278,0.802783,0.976667
deepseek/deepseek-v4.1-flash,it,300,300,1.0,0.87,0.836667,0.903333,0.943333,0.95778,0.95778,0.928333,0.963333
deepseek/deepseek-v4.1-flash,legal,200,200,1.0,0.685,0.62,0.75,0.955,0.990005,0.990005,0.83634,0.97
deepseek/deepseek-v4.1-flash,procurement,100,100,1.0,0.43,0.34,0.53,0.97,0.98,0.98,0.47366,0.98
deepseek/deepseek-v4.1-flash,security,300,300,1.0,0.723333,0.676667,0.773333,0.93,0.9623,0.9623,0.831727,0.986667
deepseek/deepseek-v4.1-flash,tech_readiness,100,100,1.0,0.71,0.62,0.8,0.97,0.99812,0.99812,0.773,0.99
google/gemini-3.8-flash,architecture,199,199,1.0,0.854271,0.80402,0.899497,1.0,1.0,1.0,0.902266,1.0
google/gemini-3.8-flash,compliance,199,199,1.0,1.0,0.981062,1.0,1.0,1.0,1.0,1.0,1.0
google/gemini-3.8-flash,general,299,299,1.0,0.879599,0.842809,0.913043,1.0,1.0,1.0,0.924756,1.0
google/gemini-3.8-flash,it,299,299,1.0,1.0,0.987315,1.0,1.0,1.0,1.0,1.0,1.0
google/gemini-3.8-flash,legal,199,199,1.0,0.994975,0.984925,1.0,1.0,1.0,1.0,0.994975,1.0
google/gemini-3.8-flash,procurement,100,100,1.0,0.96,0.92,0.99,1.0,1.0,1.0,0.9675,1.0
google/gemini-3.8-flash,security,299,299,1.0,0.986622,0.973244,0.996656,1.0,1.0,1.0,0.988853,1.0
google/gemini-3.8-flash,tech_readiness,100,100,1.0,0.89,0.83,0.95,1.0,1.0,1.0,0.96717,1.0
openai/gpt-5.6-luna,architecture,200,200,1.0,0.895,0.85,0.935,0.995,0.994855,0.994855,0.965675,0.985
openai/gpt-5.6-luna,compliance,200,200,1.0,0.96,0.93,0.985,0.995,0.992335,0.992335,0.978335,0.99
openai/gpt-5.6-luna,general,300,300,1.0,0.616667,0.56,0.67,0.953333,0.98045,0.98045,0.741403,0.966667
openai/gpt-5.6-luna,it,300,300,1.0,0.976667,0.96,0.993333,0.993333,0.99548,0.99548,0.996667,0.986667
openai/gpt-5.6-luna,legal,200,200,1.0,0.805,0.75,0.86,0.965,0.98262,0.98262,0.89476,0.97
openai/gpt-5.6-luna,procurement,100,100,1.0,0.33,0.24,0.43,0.96,0.99667,0.99667,0.34083,0.96
openai/gpt-5.6-luna,security,300,300,1.0,0.92,0.89,0.95,0.996667,0.99224,0.99224,0.966563,0.99
openai/gpt-5.6-luna,tech_readiness,100,100,1.0,0.97,0.93,1.0,0.98,0.98889,0.98889,0.998,0.98
